league_id,team_id,league,team,total_points,overall_effectivity,overall_ineffectuality,avg_points_per_match,total_matches,total_wins,total_draws,total_loses,win_pct,draw_pct,lose_pct,total_goals,total_goals_conceded,total_goals_difference,avg_goal_per_match,avg_goal_against_per_match,home,away,total_home_wins,total_home_draws,total_home_loses,total_away_wins,total_away_draws,total_away_loses,avg_home_win,avg_home_draw,avg_home_lose,avg_away_win,avg_away_draw,avg_away_lose,prop_home_win,prop_away_win,prop_home_draw,prop_away_draw,prop_home_lose,prop_away_lose,total_home_goals,total_home_goals_conceded,total_away_goals,total_away_goals_conceded,prop_home_goals,prop_away_goals,prop_home_goals_recv,prop_away_goals_recv,avg_home_goals_per_match,avg_away_goals_per_match
7809,8178,Germany 1. Bundesliga,Bayer 04 Leverkusen,477,74.6323529411765,25.3676470588235,2,272,137,66,69,50.3676470588235,24.2647058823529,25.3676470588235,483,329,154,1,1,136,136,76,34,26,61,32,43,55.4744525547445,51.5151515151515,37.6811594202899,44.5255474452555,48.4848484848485,62.3188405797101,55.8823529411765,44.8529411764706,25.0,23.5294117647059,19.1176470588235,31.6176470588235,270,153,213,176,55.9006211180124,44.0993788819876,46.5045592705167,53.4954407294833,1.0,1.0
4769,9829,France Ligue 1,AS Monaco,360,74.5614035087719,25.4385964912281,2,228,95,75,58,41.6666666666667,32.8947368421053,25.4385964912281,287,237,50,1,1,114,114,53,39,22,42,36,36,55.7894736842105,52.0,37.9310344827586,44.2105263157895,48.0,62.0689655172414,46.4912280701754,36.8421052631579,34.2105263157895,31.5789473684211,19.2982456140351,31.5789473684211,153,97,134,140,53.3101045296167,46.6898954703833,40.9282700421941,59.0717299578059,1.0,1.0
21518,9906,Spain LIGA BBVA,Atlético Madrid,560,74.3421052631579,25.6578947368421,2,304,167,59,78,54.9342105263158,19.4078947368421,25.6578947368421,524,321,203,1,1,152,152,103,24,25,64,35,53,61.6766467065868,40.6779661016949,32.0512820512821,38.3233532934132,59.3220338983051,67.9487179487179,67.7631578947368,42.1052631578947,15.7894736842105,23.0263157894737,16.4473684210526,34.8684210526316,321,124,203,197,61.2595419847328,38.7404580152672,38.6292834890966,61.3707165109034,1.0,1.0
1729,8650,England Premier League,Liverpool,526,74.3421052631579,25.6578947368421,2,304,150,76,78,49.3421052631579,25.0,25.6578947368421,531,337,194,1,1,152,152,86,43,23,64,33,55,57.3333333333333,56.5789473684211,29.4871794871795,42.6666666666667,43.4210526315789,70.5128205128205,56.5789473684211,42.1052631578947,28.2894736842105,21.7105263157895,15.1315789473684,36.1842105263158,294,134,237,203,55.3672316384181,44.6327683615819,39.7626112759644,60.2373887240356,1.0,1.0
13274,10235,Netherlands Eredivisie,Feyenoord,480,74.2647058823529,25.7352941176471,2,272,139,63,70,51.1029411764706,23.1617647058824,25.7352941176471,489,325,164,1,1,136,136,86,27,23,53,36,47,61.8705035971223,42.8571428571429,32.8571428571429,38.1294964028777,57.1428571428571,67.1428571428571,63.2352941176471,38.9705882352941,19.8529411764706,26.4705882352941,16.9117647058824,34.5588235294118,291,129,198,196,59.5092024539877,40.4907975460123,39.6923076923077,60.3076923076923,1.0,1.0
4769,9827,France Ligue 1,Girondins de Bordeaux,477,74.0131578947368,25.9868421052632,2,304,126,99,79,41.4473684210526,32.5657894736842,25.9868421052632,404,335,69,1,1,152,152,81,47,24,45,52,55,64.2857142857143,47.4747474747475,30.379746835443,35.7142857142857,52.5252525252525,69.620253164557,53.2894736842105,29.6052631578947,30.9210526315789,34.2105263157895,15.7894736842105,36.1842105263158,228,138,176,197,56.4356435643564,43.5643564356436,41.1940298507463,58.8059701492537,1.0,1.0
1729,8586,England Premier League,Tottenham Hotspur,527,74.0131578947368,25.9868421052632,2,304,151,74,79,49.6710526315789,24.3421052631579,25.9868421052632,481,358,123,1,1,152,152,88,36,28,63,38,51,58.2781456953642,48.6486486486486,35.4430379746835,41.7218543046358,51.3513513513514,64.5569620253165,57.8947368421053,41.4473684210526,23.6842105263158,25.0,18.4210526315789,33.5526315789474,255,138,226,220,53.014553014553,46.985446985447,38.5474860335196,61.4525139664804,1.0,1.0
1729,8668,England Premier League,Everton,463,72.6973684210526,27.3026315789474,2,304,121,100,83,39.8026315789474,32.8947368421053,27.3026315789474,439,355,84,1,1,152,152,76,43,33,45,57,50,62.8099173553719,43.0,39.7590361445783,37.1900826446281,57.0,60.2409638554217,50.0,29.6052631578947,28.2894736842105,37.5,21.7105263157895,32.8947368421053,258,166,181,189,58.7699316628702,41.2300683371298,46.7605633802817,53.2394366197183,1.0,1.0
21518,10267,Spain LIGA BBVA,Valencia CF,500,71.0526315789474,28.9473684210526,2,304,142,74,88,46.7105263157895,24.3421052631579,28.9473684210526,484,369,115,1,1,152,152,90,34,28,52,40,60,63.3802816901408,45.9459459459459,31.8181818181818,36.6197183098592,54.0540540540541,68.1818181818182,59.2105263157895,34.2105263157895,22.3684210526316,26.3157894736842,18.4210526315789,39.4736842105263,299,161,185,208,61.7768595041322,38.2231404958678,43.6314363143631,56.3685636856369,1.0,1.0
1729,8197,England Premier League,Leicester City,122,71.0526315789474,28.9473684210526,2,76,34,20,22,44.7368421052632,26.3157894736842,28.9473684210526,114,91,23,1,1,38,38,19,11,8,15,9,14,55.8823529411765,55.0,36.3636363636364,44.1176470588235,45.0,63.6363636363636,50.0,39.4736842105263,28.9473684210526,23.6842105263158,21.0526315789474,36.8421052631579,63,40,51,51,55.2631578947368,44.7368421052632,43.956043956044,56.043956043956,1.0,1.0
